Order ID,Order Date,Delivery Date,Store ID,Store Type,Region,City,State,Postal Code,Customer ID,Customer Name,Loyalty Member,Transaction Channel,Payment Method,Product ID,Category,Sub-Category,Product Name,Quantity,Unit Price,Sales,Discount,Profit,Supplier
OR-100001,2023-04-17,2023-04-21,ST-187,Supercenter,Central,San Diego,State San,51090,CU-54131,Customer 872,No,In-Store,Mobile Wallet,PR-887201,Electronics,Batteries,Batteries Item 271,5,23.82,119.1,0.0,3.97,Supplier B
OR-100002,2023-09-10,2023-09-13,ST-575,Supercenter,East,San Antonio,State San,75725,CU-12747,Customer 976,No,In-Store,Debit Card,PR-691723,Electronics,Small Appliances,Small Appliances Item 22,9,44.04,396.36,0.05,19.61,Supplier A
OR-100003,2023-10-01,2023-10-04,ST-664,Supercenter,East,Houston,State Houston,27159,CU-33483,Customer 1479,Yes,In-Store,Cash,PR-704365,Pharmacy,OTC Medicines,OTC Medicines Item 167,9,144.86,1303.74,0.1,105.67,Local Farm
OR-100004,2024-04-21,2024-04-27,ST-369,Supercenter,West,San Antonio,State San,50397,CU-42606,Customer 816,Yes,Online,Credit Card,PR-363160,Household,Plasticware,Plasticware Item 310,2,116.38,232.76,0.15,44.68,Distributor X
OR-100005,2023-07-07,2023-07-10,ST-620,Neighborhood,East,San Diego,State San,58190,CU-72592,Customer 648,No,In-Store,Cash,PR-580754,Household,Cleaning Supplies,Cleaning Supplies Item 252,9,44.79,403.11,0.0,9.51,Supplier C
OR-100006,2023-05-15,2023-05-15,ST-673,Neighborhood,East,Chicago,State Chicago,94651,CU-89575,Customer 805,No,In-Store,Cash,PR-994498,Household,Cleaning Supplies,Cleaning Supplies Item 28,8,67.69,541.52,0.0,57.02,Supplier C
OR-100007,2023-01-15,2023-01-16,ST-195,Supercenter,Central,Phoenix,State Phoenix,81910,CU-97939,Customer 1758,Yes,In-Store,Debit Card,PR-298286,Personal Care,Toiletries,Toiletries Item 207,3,5.2,15.6,0.05,1.37,Distributor X
OR-100008,2024-07-10,2024-07-15,ST-439,Supercenter,South,Chicago,State Chicago,28047,CU-58925,Customer 1982,No,In-Store,Mobile Wallet,PR-175766,Electronics,Small Appliances,Small Appliances Item 170,9,16.27,146.43,0.0,10.29,Supplier A
OR-100009,2023-09-16,2023-09-22,ST-918,Supercenter,East,San Diego,State San,44766,CU-23545,Customer 684,No,In-Store,Mobile Wallet,PR-979989,Groceries,Bakery,Bakery Item 461,6,76.86,461.16,0.0,32.78,Supplier A
OR-100010,2024-05-24,2024-05-30,ST-798,Convenience,Central,Los Angeles,State Los,10854,CU-36736,Customer 2,No,In-Store,Cash,PR-531839,Household,Plasticware,Plasticware Item 268,2,106.98,213.96,0.0,53.38,Supplier B
OR-100011,2023-07-03,2023-07-05,ST-297,Neighborhood,North,San Antonio,State San,90623,CU-99045,Customer 1931,No,In-Store,Mobile Wallet,PR-455528,Electronics,Gadgets,Gadgets Item 203,1,109.37,109.37,0.0,18.09,Distributor X
OR-100012,2024-05-25,2024-05-27,ST-739,Supercenter,East,San Diego,State San,47504,CU-98614,Customer 338,Yes,In-Store,Cash,PR-108155,Electronics,Gadgets,Gadgets Item 346,4,96.95,387.8,0.0,69.38,Supplier B
OR-100013,2023-01-02,2023-01-02,ST-198,Supercenter,West,San Diego,State San,76690,CU-52642,Customer 816,No,In-Store,Credit Card,PR-630583,Household,Plasticware,Plasticware Item 60,5,135.11,675.55,0.05,62.88,Local Farm
OR-100014,2023-04-22,2023-04-27,ST-437,Supercenter,Central,Chicago,State Chicago,71135,CU-87505,Customer 822,No,In-Store,Mobile Wallet,PR-736584,Electronics,Small Appliances,Small Appliances Item 227,9,99.69,897.21,0.0,51.13,Supplier A
OR-100015,2023-02-02,2023-02-05,ST-329,Convenience,East,Philadelphia,State Philadelphia,15895,CU-13436,Customer 563,No,In-Store,Credit Card,PR-392890,Personal Care,Toiletries,Toiletries Item 128,3,95.63,286.89,0.0,44.66,Supplier A
OR-100016,2024-10-20,2024-10-23,ST-257,Supercenter,East,Phoenix,State Phoenix,53525,CU-53484,Customer 1070,No,Click & Collect,Cash,PR-787995,Pharmacy,OTC Medicines,OTC Medicines Item 304,3,115.4,346.2,0.0,86.12,Distributor X
OR-100017,2023-04-26,2023-05-02,ST-117,Supercenter,East,Philadelphia,State Philadelphia,76105,CU-44584,Customer 1759,Yes,In-Store,Mobile Wallet,PR-545101,Personal Care,Hair Care,Hair Care Item 481,5,29.04,145.2,0.0,19.11,Supplier B
OR-100018,2024-01-28,2024-01-30,ST-966,Supercenter,West,San Diego,State San,18716,CU-60993,Customer 921,No,In-Store,Debit Card,PR-580761,Household,Cleaning Supplies,Cleaning Supplies Item 104,6,54.24,325.44,0.0,67.09,Distributor X
OR-100019,2023-05-23,2023-05-26,ST-764,Neighborhood,South,Philadelphia,State Philadelphia,60300,CU-62921,Customer 575,Yes,In-Store,Credit Card,PR-327897,Electronics,Gadgets,Gadgets Item 471,2,14.55,29.1,0.0,0.82,Supplier B
OR-100020,2023-09-21,2023-09-25,ST-449,Supercenter,West,San Antonio,State San,82615,CU-79678,Customer 867,No,Online,Cash,PR-860463,Electronics,Batteries,Batteries Item 481,5,68.86,344.3,0.1,20.05,Supplier B
OR-100021,2023-12-12,2023-12-16,ST-740,Neighborhood,North,New York,State New,56175,CU-76617,Customer 634,Yes,In-Store,Cash,PR-276615,Personal Care,Hair Care,Hair Care Item 58,5,12.59,62.95,0.0,11.23,Distributor X
OR-100022,2023-03-17,2023-03-18,ST-168,Supercenter,West,Philadelphia,State Philadelphia,88781,CU-54078,Customer 1009,Yes,In-Store,Mobile Wallet,PR-260196,Pharmacy,First Aid,First Aid Item 451,3,113.8,341.4,0.0,15.94,Supplier B
OR-100023,2024-06-05,2024-06-10,ST-758,Supercenter,Central,San Diego,State San,19540,CU-19823,Customer 769,Yes,In-Store,Mobile Wallet,PR-497827,Groceries,Frozen,Frozen Item 23,5,133.06,665.3,0.0,15.65,Supplier B
OR-100024,2024-01-15,2024-01-15,ST-676,Supercenter,West,Los Angeles,State Los,92986,CU-48304,Customer 1192,Yes,In-Store,Cash,PR-251836,Personal Care,Hair Care,Hair Care Item 152,1,121.78,121.78,0.1,17.97,Supplier B
OR-100025,2024-08-27,2024-08-28,ST-725,Supercenter,West,Phoenix,State Phoenix,17543,CU-36092,Customer 1099,Yes,In-Store,Cash,PR-160692,Groceries,Dairy,Dairy Item 264,2,39.47,78.94,0.0,14.16,Supplier B
OR-100026,2024-07-01,2024-07-02,ST-136,Convenience,North,San Antonio,State San,81180,CU-54811,Customer 1393,No,Online,Cash,PR-954882,Personal Care,Toiletries,Toiletries Item 99,1,116.57,116.57,0.0,27.29,Supplier A
OR-100027,2023-06-26,2023-06-29,ST-834,Convenience,Central,Chicago,State Chicago,70921,CU-74895,Customer 1588,No,Online,Debit Card,PR-750308,Pharmacy,First Aid,First Aid Item 19,9,127.15,1144.35,0.0,274.72,Local Farm
OR-100028,2023-02-11,2023-02-12,ST-832,Neighborhood,North,San Antonio,State San,82267,CU-99930,Customer 658,No,In-Store,Credit Card,PR-254697,Groceries,Frozen,Frozen Item 181,7,149.39,1045.73,0.0,198.18,Distributor X
OR-100029,2024-09-25,2024-09-26,ST-464,Supercenter,North,Houston,State Houston,67854,CU-36432,Customer 1366,No,Online,Mobile Wallet,PR-494540,Household,Cleaning Supplies,Cleaning Supplies Item 434,5,77.24,386.2,0.0,59.36,Local Farm
OR-100030,2024-06-14,2024-06-20,ST-759,Express,North,Phoenix,State Phoenix,35470,CU-65771,Customer 456,No,In-Store,Cash,PR-405062,Personal Care,Skincare,Skincare Item 346,3,38.43,115.29,0.0,17.46,Local Farm
OR-100031,2023-04-27,2023-05-02,ST-775,Convenience,North,New York,State New,81726,CU-40354,Customer 1556,Yes,In-Store,Credit Card,PR-152528,Groceries,Fresh Produce,Fresh Produce Item 312,5,6.99,34.95,0.15,6.87,Supplier A
OR-100032,2023-11-26,2023-12-01,ST-189,Supercenter,West,Los Angeles,State Los,43307,CU-94665,Customer 1340,No,In-Store,Mobile Wallet,PR-227016,Groceries,Beverages,Beverages Item 12,8,93.21,745.68,0.0,47.18,Supplier A
OR-100033,2024-07-11,2024-07-13,ST-549,Neighborhood,East,Philadelphia,State Philadelphia,33793,CU-75545,Customer 824,Yes,In-Store,Cash,PR-326156,Pharmacy,OTC Medicines,OTC Medicines Item 397,6,142.5,855.0,0.05,130.84,Supplier A
